      TIME	  CAN_ID	CAN_DATA                        	      1	      2	      3	      4
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[49, 38, 41, 38, 53, 38, 62, 38]	24.5926	24.5316	24.6231	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 33, 38, 56, 38]	24.6384	24.5392	24.4705	24.646
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 62, 38]	24.5926	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 53, 38]	24.6384	24.5392	24.4629	24.6231
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 63, 38]	24.6002	24.5316	24.6155	24.6994
1.5817e+09	     102	[53, 38, 42, 38, 33, 38, 56, 38]	24.6231	24.5392	24.4705	24.646
1.5817e+09	     103	[49, 38, 39, 38, 52, 38, 62, 38]	24.5926	24.5163	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[50, 38, 41, 38, 53, 38, 62, 38]	24.6002	24.5316	24.6231	24.6918
1.5817e+09	     102	[55, 38, 41, 38, 33, 38, 55, 38]	24.6384	24.5316	24.4705	24.6384
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 63, 38]	24.5926	24.5316	24.6155	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 62, 38]	24.5926	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 31, 38, 55, 38]	24.6384	24.5392	24.4553	24.6384
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 63, 38]	24.6002	24.5316	24.6155	24.6994
1.5817e+09	     102	[56, 38, 42, 38, 31, 38, 55, 38]	24.646 	24.5392	24.4553	24.6384
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 62, 38]	24.5926	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 33, 38, 56, 38]	24.6384	24.5392	24.4705	24.646
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 62, 38]	24.5926	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 31, 38, 55, 38]	24.6384	24.5392	24.4553	24.6384
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 63, 38]	24.6002	24.5316	24.6155	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 31, 38, 53, 38]	24.6384	24.5392	24.4553	24.6231
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 63, 38]	24.6002	24.5316	24.6155	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 63, 38]	24.5926	24.5316	24.6155	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 62, 38]	24.6002	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 43, 38, 32, 38, 56, 38]	24.6384	24.5468	24.4629	24.646
1.5817e+09	     103	[49, 38, 41, 38, 53, 38, 63, 38]	24.5926	24.5316	24.6231	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 62, 38]	24.5926	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 43, 38, 32, 38, 55, 38]	24.6384	24.5468	24.4629	24.6384
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 62, 38]	24.6002	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 63, 38]	24.6002	24.5316	24.6155	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[50, 38, 42, 38, 52, 38, 63, 38]	24.6002	24.5392	24.6155	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 31, 38, 55, 38]	24.6384	24.5392	24.4553	24.6384
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 63, 38]	24.6002	24.5316	24.6155	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 63, 38]	24.5926	24.5316	24.6155	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 63, 38]	24.5926	24.5316	24.6155	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 63, 38]	24.6002	24.5316	24.6155	24.6994
1.5817e+09	     102	[56, 38, 42, 38, 32, 38, 56, 38]	24.646 	24.5392	24.4629	24.646
1.5817e+09	     103	[49, 38, 41, 38, 53, 38, 63, 38]	24.5926	24.5316	24.6231	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 33, 38, 55, 38]	24.6384	24.5392	24.4705	24.6384
1.5817e+09	     103	[50, 38, 41, 38, 53, 38, 63, 38]	24.6002	24.5316	24.6231	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[49, 38, 42, 38, 52, 38, 63, 38]	24.5926	24.5392	24.6155	24.6994
1.5817e+09	     102	[55, 38, 41, 38, 32, 38, 55, 38]	24.6384	24.5316	24.4629	24.6384
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 63, 38]	24.5926	24.5316	24.6155	24.6994
1.5817e+09	     102	[55, 38, 41, 38, 32, 38, 53, 38]	24.6384	24.5316	24.4629	24.6231
1.5817e+09	     103	[50, 38, 39, 38, 52, 38, 63, 38]	24.6002	24.5163	24.6155	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[49, 38, 41, 38, 53, 38, 62, 38]	24.5926	24.5316	24.6231	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[50, 38, 41, 38, 53, 38, 62, 38]	24.6002	24.5316	24.6231	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 62, 38]	24.5926	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 31, 38, 56, 38]	24.6384	24.5392	24.4553	24.646
1.5817e+09	     103	[49, 38, 41, 38, 53, 38, 63, 38]	24.5926	24.5316	24.6231	24.6994
1.5817e+09	     102	[55, 38, 41, 38, 32, 38, 56, 38]	24.6384	24.5316	24.4629	24.646
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 62, 38]	24.5926	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[50, 38, 41, 38, 53, 38, 62, 38]	24.6002	24.5316	24.6231	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[50, 38, 41, 38, 53, 38, 62, 38]	24.6002	24.5316	24.6231	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 63, 38]	24.5926	24.5316	24.6155	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 62, 38]	24.5926	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 63, 38]	24.5926	24.5316	24.6155	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[50, 38, 41, 38, 53, 38, 62, 38]	24.6002	24.5316	24.6231	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 58, 38]	24.6384	24.5392	24.4629	24.6613
1.5817e+09	     103	[50, 38, 41, 38, 53, 38, 63, 38]	24.6002	24.5316	24.6231	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 31, 38, 55, 38]	24.6384	24.5392	24.4553	24.6384
1.5817e+09	     103	[50, 38, 41, 38, 53, 38, 63, 38]	24.6002	24.5316	24.6231	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 33, 38, 58, 38]	24.6384	24.5392	24.4705	24.6613
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 62, 38]	24.6002	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[49, 38, 42, 38, 53, 38, 62, 38]	24.5926	24.5392	24.6231	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[50, 38, 41, 38, 53, 38, 62, 38]	24.6002	24.5316	24.6231	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 53, 38]	24.6384	24.5392	24.4629	24.6231
1.5817e+09	     103	[49, 38, 41, 38, 53, 38, 62, 38]	24.5926	24.5316	24.6231	24.6918
1.5817e+09	     102	[53, 38, 42, 38, 31, 38, 55, 38]	24.6231	24.5392	24.4553	24.6384
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 62, 38]	24.5926	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 41, 38, 32, 38, 55, 38]	24.6384	24.5316	24.4629	24.6384
1.5817e+09	     103	[50, 38, 41, 38, 53, 38, 62, 38]	24.6002	24.5316	24.6231	24.6918
1.5817e+09	     102	[56, 38, 42, 38, 32, 38, 55, 38]	24.646 	24.5392	24.4629	24.6384
1.5817e+09	     103	[49, 38, 42, 38, 52, 38, 62, 38]	24.5926	24.5392	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 31, 38, 56, 38]	24.6384	24.5392	24.4553	24.646
1.5817e+09	     103	[49, 38, 41, 38, 53, 38, 62, 38]	24.5926	24.5316	24.6231	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 31, 38, 55, 38]	24.6384	24.5392	24.4553	24.6384
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 62, 38]	24.6002	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 33, 38, 56, 38]	24.6384	24.5392	24.4705	24.646
1.5817e+09	     103	[50, 38, 42, 38, 53, 38, 63, 38]	24.6002	24.5392	24.6231	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 63, 38]	24.6002	24.5316	24.6155	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[49, 38, 41, 38, 53, 38, 62, 38]	24.5926	24.5316	24.6231	24.6918
1.5817e+09	     102	[53, 38, 42, 38, 32, 38, 55, 38]	24.6231	24.5392	24.4629	24.6384
1.5817e+09	     103	[48, 38, 39, 38, 52, 38, 62, 38]	24.585 	24.5163	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 62, 38]	24.5926	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 58, 38]	24.6384	24.5392	24.4629	24.6613
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 63, 38]	24.6002	24.5316	24.6155	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[49, 38, 41, 38, 53, 38, 63, 38]	24.5926	24.5316	24.6231	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 62, 38]	24.6002	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 62, 38]	24.5926	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 62, 38]	24.6002	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 62, 38]	24.6002	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[50, 38, 41, 38, 53, 38, 63, 38]	24.6002	24.5316	24.6231	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[49, 38, 41, 38, 53, 38, 62, 38]	24.5926	24.5316	24.6231	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[50, 38, 42, 38, 53, 38, 63, 38]	24.6002	24.5392	24.6231	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 63, 38]	24.5926	24.5316	24.6155	24.6994
1.5817e+09	     102	[56, 38, 42, 38, 32, 38, 56, 38]	24.646 	24.5392	24.4629	24.646
1.5817e+09	     103	[50, 38, 42, 38, 53, 38, 63, 38]	24.6002	24.5392	24.6231	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 63, 38]	24.5926	24.5316	24.6155	24.6994
1.5817e+09	     102	[55, 38, 41, 38, 32, 38, 56, 38]	24.6384	24.5316	24.4629	24.646
1.5817e+09	     103	[49, 38, 41, 38, 53, 38, 62, 38]	24.5926	24.5316	24.6231	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 33, 38, 56, 38]	24.6384	24.5392	24.4705	24.646
1.5817e+09	     103	[49, 38, 41, 38, 53, 38, 63, 38]	24.5926	24.5316	24.6231	24.6994
1.5817e+09	     102	[55, 38, 41, 38, 32, 38, 55, 38]	24.6384	24.5316	24.4629	24.6384
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 62, 38]	24.5926	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 62, 38]	24.6002	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 62, 38]	24.6002	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 63, 38]	24.5926	24.5316	24.6155	24.6994
1.5817e+09	     102	[56, 38, 42, 38, 32, 38, 53, 38]	24.646 	24.5392	24.4629	24.6231
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 62, 38]	24.5926	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 62, 38]	24.6002	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[49, 38, 41, 38, 53, 38, 63, 38]	24.5926	24.5316	24.6231	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 62, 38]	24.6002	24.5316	24.6155	24.6918
1.5817e+09	     102	[56, 38, 42, 38, 31, 38, 53, 38]	24.646 	24.5392	24.4553	24.6231
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 63, 38]	24.6002	24.5316	24.6155	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 62, 38]	24.6002	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 33, 38, 56, 38]	24.6384	24.5392	24.4705	24.646
1.5817e+09	     103	[50, 38, 41, 38, 53, 38, 62, 38]	24.6002	24.5316	24.6231	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[48, 38, 41, 38, 53, 38, 63, 38]	24.585 	24.5316	24.6231	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 62, 38]	24.5926	24.5316	24.6155	24.6918
1.5817e+09	     102	[56, 38, 42, 38, 31, 38, 55, 38]	24.646 	24.5392	24.4553	24.6384
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 63, 38]	24.5926	24.5316	24.6155	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 31, 38, 53, 38]	24.6384	24.5392	24.4553	24.6231
1.5817e+09	     103	[50, 38, 39, 38, 52, 38, 62, 38]	24.6002	24.5163	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[50, 38, 41, 38, 53, 38, 63, 38]	24.6002	24.5316	24.6231	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[49, 38, 41, 38, 53, 38, 63, 38]	24.5926	24.5316	24.6231	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 31, 38, 53, 38]	24.6384	24.5392	24.4553	24.6231
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 63, 38]	24.5926	24.5316	24.6155	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 63, 38]	24.6002	24.5316	24.6155	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[50, 38, 42, 38, 52, 38, 63, 38]	24.6002	24.5392	24.6155	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[50, 38, 41, 38, 53, 38, 62, 38]	24.6002	24.5316	24.6231	24.6918
1.5817e+09	     102	[53, 38, 42, 38, 32, 38, 55, 38]	24.6231	24.5392	24.4629	24.6384
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 62, 38]	24.6002	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[50, 38, 41, 38, 53, 38, 63, 38]	24.6002	24.5316	24.6231	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 63, 38]	24.5926	24.5316	24.6155	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[49, 38, 41, 38, 53, 38, 63, 38]	24.5926	24.5316	24.6231	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[49, 38, 41, 38, 53, 38, 63, 38]	24.5926	24.5316	24.6231	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 33, 38, 56, 38]	24.6384	24.5392	24.4705	24.646
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 62, 38]	24.6002	24.5316	24.6155	24.6918
1.5817e+09	     102	[53, 38, 42, 38, 32, 38, 56, 38]	24.6231	24.5392	24.4629	24.646
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 63, 38]	24.5926	24.5316	24.6155	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 31, 38, 56, 38]	24.6384	24.5392	24.4553	24.646
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 62, 38]	24.5926	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 62, 38]	24.5926	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 33, 38, 56, 38]	24.6384	24.5392	24.4705	24.646
1.5817e+09	     103	[48, 38, 41, 38, 53, 38, 63, 38]	24.585 	24.5316	24.6231	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 63, 38]	24.5926	24.5316	24.6155	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 33, 38, 56, 38]	24.6384	24.5392	24.4705	24.646
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 63, 38]	24.6002	24.5316	24.6155	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 62, 38]	24.6002	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 63, 38]	24.6002	24.5316	24.6155	24.6994
1.5817e+09	     102	[56, 38, 42, 38, 31, 38, 56, 38]	24.646 	24.5392	24.4553	24.646
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 63, 38]	24.6002	24.5316	24.6155	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[52, 38, 41, 38, 53, 38, 63, 38]	24.6155	24.5316	24.6231	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[49, 38, 39, 38, 53, 38, 63, 38]	24.5926	24.5163	24.6231	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 33, 38, 55, 38]	24.6384	24.5392	24.4705	24.6384
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 62, 38]	24.5926	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 31, 38, 55, 38]	24.6384	24.5392	24.4553	24.6384
1.5817e+09	     103	[49, 38, 41, 38, 53, 38, 63, 38]	24.5926	24.5316	24.6231	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 33, 38, 56, 38]	24.6384	24.5392	24.4705	24.646
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 62, 38]	24.5926	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 63, 38]	24.5926	24.5316	24.6155	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 56, 38]	24.6384	24.5392	24.4629	24.646
1.5817e+09	     103	[50, 38, 41, 38, 53, 38, 62, 38]	24.6002	24.5316	24.6231	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 63, 38]	24.5926	24.5316	24.6155	24.6994
1.5817e+09	     102	[56, 38, 42, 38, 32, 38, 55, 38]	24.646 	24.5392	24.4629	24.6384
1.5817e+09	     103	[49, 38, 42, 38, 53, 38, 63, 38]	24.5926	24.5392	24.6231	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 33, 38, 55, 38]	24.6384	24.5392	24.4705	24.6384
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 63, 38]	24.5926	24.5316	24.6155	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 31, 38, 53, 38]	24.6384	24.5392	24.4553	24.6231
1.5817e+09	     103	[49, 38, 42, 38, 52, 38, 62, 38]	24.5926	24.5392	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 31, 38, 56, 38]	24.6384	24.5392	24.4553	24.646
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 63, 38]	24.5926	24.5316	24.6155	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 53, 38]	24.6384	24.5392	24.4629	24.6231
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 62, 38]	24.6002	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 33, 38, 56, 38]	24.6384	24.5392	24.4705	24.646
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 62, 38]	24.5926	24.5316	24.6155	24.6918
1.5817e+09	     102	[56, 38, 41, 38, 31, 38, 55, 38]	24.646 	24.5316	24.4553	24.6384
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 63, 38]	24.6002	24.5316	24.6155	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[48, 38, 41, 38, 53, 38, 62, 38]	24.585 	24.5316	24.6231	24.6918
1.5817e+09	     102	[55, 38, 43, 38, 32, 38, 55, 38]	24.6384	24.5468	24.4629	24.6384
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 62, 38]	24.5926	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[50, 38, 41, 38, 52, 38, 63, 38]	24.6002	24.5316	24.6155	24.6994
1.5817e+09	     102	[55, 38, 42, 38, 33, 38, 55, 38]	24.6384	24.5392	24.4705	24.6384
1.5817e+09	     103	[49, 38, 41, 38, 52, 38, 62, 38]	24.5926	24.5316	24.6155	24.6918
1.5817e+09	     102	[55, 38, 42, 38, 32, 38, 55, 38]	24.6384	24.5392	24.4629	24.6384
1.5817e+09	     103	[50, 38, 41, 38, 53, 38, 63, 38]	24.6002	24.5316	24.6231	24.6994
